x,Curve1
400.5,9.548
402.5,10.462
403,11.394
405.5,12.111
408,13.311
411,14.243
422,13.006
429.5,12.002
437.5,12.414
438,12.897
444.5,13.453
448.5,13.954
452.5,14.187
461.5,13.792
466,13.236
472.5,12.662
480.5,12.16
486,11.532
490,11.013
499.5,10.851
511,11.065
520,11.548
529.5,11.906
538.5,11.655
545,12.192
554,12.729
560,13.105
565,12.693
571.5,12.208
579.5,12.172
584.5,11.634
591.5,10.971
595.5,10.361
601.5,10.038
611,10.055
612.5,9.625
619.5,9.087
626,8.603
632,8.28
639.5,8.369
650,7.938
659.5,7.669
669,7.74
677,7.919
684.5,8.008
689.5,7.721
697,7.81
